primary_contact_id,contact_channel,transcript_created_date_at_utc,is_retail_agent,subject,transcript,summary,error,contact_reason,contact_audience,retailer,product,order_id,jira_ticket,notes
dcbdf42d-2e07-49d3-bbf7-28619e781f1c,phone,2025-09-15 14:22:39.542,1,,"[14:22:39 agent]: thank you for calling esa you're speaking with you're speaking with today
[14:22:45 retailer]: yeah my name is jean and i'm calling from wagons in esca
[14:22:50 agent]: and how can i help you
[14:22:52 retailer]: so i had a one of my employees had to change an item out because of flowers
[14:23:01 retailer]: they wanted didn't have so they were two dollars more so the card came up denied
[14:23:07 agent]: okay i need to take a look into the c transaction what's the device phone number as linked to the order
[14:23:13 retailer]: two hundred five six four eight two five five
[14:23:18 retailer]: good to put water and
[14:23:29 retailer]: no
[14:23:31 agent]: yeah
[14:23:33 retailer]: well
[14:23:38 agent]: and how much is that transaction please
[14:23:41 retailer]: the total came up to fifty eighty five
[14:23:45 agent]: thank you
[14:23:51 agent]: can you could check the card please
[14:23:56 retailer]: you want me to try to slide it again
[14:24:06 retailer]: okay that worked
[14:24:08 agent]: i thank you for calling esa kind have a wonderful day
[14:24:11 retailer]: you too thank you
[14:24:14 retailer]: bye",Retailer reported a declined payment due to a price difference after substituting an out-of-stock item.,,Payment and Refund Issues :: Declined Payments,Retailer / Retailer Account Manager,Wagons,,,,
500Uc00000dvs9AIAQ,email,2025-07-12 19:49:42.000,0,[EXTERNAL] Store Hours Change Tracker: Store#865 Hours Change,"Message 1 (2025-07-12 19:49:42.000 Z):
Store#: 865
Store Name: Alpharetta
Address: 7300 North Point Pkwy, Apharetta, GA-30022
DSM/MSM#: John Williams
Reason: EARLY CLOSING
Special Hours: SAT 9:30-6
Special Hours Effective Date: 07/12/2025
Notes: Early closing due to staffing challenges


To unsubscribe from this group and stop receiving emails from it, send an email to StoreHoursAdjustments+unsubscribe@instacart.com.",Retailer reported early store closure due to staffing challenges at Store#865.,,Store Closures/Hours :: Store Closures and Adjusted Hours,Retailer / Retailer Account Manager,,,,,
6e613b7f-9b2e-4762-9e21-0bf962fbc742,phone,2025-09-29 16:01:12.042,1,,"[16:01:12 agent]: thank you for calling in retail support my name is sean how may i help you today
[16:01:17 retailer]: yes i just just went on the
[16:01:21 retailer]: public's out on ester cart and i placed an order and it's at jacksonville florida but i am nowhere near jacksonville florida i'm in jasper georgia so i need to cancel that order
[16:01:35 agent]: okay i can go ahead and cancel this order for you can i have the phone number
[16:01:40 retailer]: my number is seven zero six two nine nine one seven one one
[16:01:47 agent]: alright and can you confirm the name for me
[16:01:51 retailer]: kathy spears
[16:01:53 agent]: okay i think i see the order here and just to confirm we just want to cancel this order just because it's in the wrong location
[16:02:01 retailer]: exactly yes sir that's right
[16:02:03 agent]: alright i'll go ahead and cancel that order for you is there anything else i can help with today
[16:02:06 retailer]: alright
[16:02:08 retailer]: that's fine thank you for helping
[16:02:12 agent]: no problem thank you so much for calling you're
[16:02:13 retailer]: alright huh alright
[16:02:15 retailer]: alright bye bye
[16:02:16 agent]: my",Retailer requested to cancel an order placed at the wrong location.,,Order Cancellations and Modifications :: Customer-Initiated Cancellations,Retailer / Retailer Account Manager,Publix,,,,
8435e4ba-a83e-41fa-8757-d9649b4594cc,phone,2025-10-11 22:16:29.214,1,,"[22:16:29 agent]: thank you for calling and star retail support my name is tiffany how may i assist you
[22:16:35 retailer]: hi my name is john from kroger support i do have a customer on the other line the customer said that the driver contacted her because the driver is at the wrong address and also the driver stopped responding the driver said that the address on inst card was different than the kroger
[22:16:55 retailer]: website so i just wanted to confirm if the driver the driver's location now can i give you the phone number of the customer
[22:17:02 agent]: sure what is the phone number
[22:17:05 retailer]: okay phone number should be one moment
[22:17:14 retailer]: phone number should be six one five
[22:17:19 retailer]: eight one eight
[22:17:21 agent]: huh
[22:17:21 retailer]: four five six nine
[22:17:53 agent]: i'm showing five thirty five main street apartment two twenty four
[22:18:01 agent]: is the address
[22:18:06 agent]: let me check his gps hold on just a moment
[22:18:17 agent]: he passed her
[22:18:19 agent]: her the gps
[22:18:25 retailer]: right yeah the customer just responded to me the the customer said that the driver just arrived in the location i think i think the customer don't need any help for this concern anymore by the way i think that's all i need to thank for help
[22:18:26 agent]: yeah
[22:18:38 agent]: okay
[22:18:41 agent]: you're welcome have a good day
[22:18:43 retailer]: you too bye bye
[22:18:44 agent]: bye bye",Retailer reported a driver arriving at the wrong address and temporarily being unresponsive.,,Order Status and Delivery Issues :: Incorrect Delivery Location,Retailer / Retailer Account Manager,Kroger,,,,
500Uc00000kVIMRIA4,email,2025-09-23 16:27:38.000,1,Order Stuck in Shopping,"Message 1 (2025-09-23 16:27:37.000 Z):
